location,hits,keyword
Lithuania,25,Battleship
Ireland,22,Battleship
Portugal,18,Battleship
Denmark,18,Battleship
Estonia,NA,Battleship
Luxembourg,NA,Battleship
Poland,14,Battleship
Sweden,14,Battleship
Slovenia,NA,Battleship
Cyprus,NA,Battleship
Netherlands,13,Battleship
Belgium,13,Battleship
Hungary,11,Battleship
Greece,11,Battleship
Finland,11,Battleship
Croatia,10,Battleship
Italy,10,Battleship
Latvia,NA,Battleship
Romania,10,Battleship
Spain,9,Battleship
Bulgaria,7,Battleship
Germany,7,Battleship
Austria,6,Battleship
France,6,Battleship
Slovakia,NA,Battleship
Lithuania,64,Rise of the Planet of the Apes
Netherlands,40,Rise of the Planet of the Apes
Ireland,23,Rise of the Planet of the Apes
United Kingdom,22,Rise of the Planet of the Apes
Cyprus,NA,Rise of the Planet of the Apes
Luxembourg,NA,Rise of the Planet of the Apes
Belgium,9,Rise of the Planet of the Apes
Sweden,8,Rise of the Planet of the Apes
Portugal,7,Rise of the Planet of the Apes
Greece,6,Rise of the Planet of the Apes
Denmark,6,Rise of the Planet of the Apes
Romania,5,Rise of the Planet of the Apes
Bulgaria,NA,Rise of the Planet of the Apes
Latvia,NA,Rise of the Planet of the Apes
Croatia,NA,Rise of the Planet of the Apes
Slovenia,NA,Rise of the Planet of the Apes
Spain,2,Rise of the Planet of the Apes
France,2,Rise of the Planet of the Apes
Finland,NA,Rise of the Planet of the Apes
Germany,2,Rise of the Planet of the Apes
Hungary,NA,Rise of the Planet of the Apes
Italy,1,Rise of the Planet of the Apes
Austria,NA,Rise of the Planet of the Apes
Poland,1,Rise of the Planet of the Apes
Estonia,NA,Rise of the Planet of the Apes
Malta,NA,Rise of the Planet of the Apes
Slovakia,NA,Rise of the Planet of the Apes
United Kingdom,64,Lights Out
Malta,NA,Lights Out
Ireland,49,Lights Out
Sweden,18,Lights Out
Estonia,NA,Lights Out
Slovakia,NA,Lights Out
Denmark,13,Lights Out
Slovenia,NA,Lights Out
Cyprus,NA,Lights Out
Croatia,NA,Lights Out
Belgium,13,Lights Out
Portugal,12,Lights Out
Netherlands,12,Lights Out
Romania,12,Lights Out
Bulgaria,NA,Lights Out
Finland,11,Lights Out
Greece,11,Lights Out
Germany,11,Lights Out
Latvia,NA,Lights Out
Lithuania,NA,Lights Out
Hungary,9,Lights Out
Austria,8,Lights Out
Italy,7,Lights Out
Poland,7,Lights Out
Luxembourg,NA,Lights Out
Spain,5,Lights Out
France,4,Lights Out
Netherlands,100,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Austria,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Italy,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Belgium,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Bulgaria,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Cyprus,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Germany,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Denmark,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Spain,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Estonia,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Finland,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
France,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
United Kingdom,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Greece,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Croatia,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Hungary,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Ireland,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Lithuania,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Luxembourg,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Latvia,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Malta,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Poland,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Portugal,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Romania,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Slovakia,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Slovenia,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
Sweden,NA,Norman  The Moderate Rise and Tragic Fall of a New York Fixer
United Kingdom,88,Birdman or  The Unexpected Virtue of Ignorance
Ireland,NA,Birdman or  The Unexpected Virtue of Ignorance
France,NA,Birdman or  The Unexpected Virtue of Ignorance
Poland,NA,Birdman or  The Unexpected Virtue of Ignorance
Austria,NA,Birdman or  The Unexpected Virtue of Ignorance
Belgium,NA,Birdman or  The Unexpected Virtue of Ignorance
Bulgaria,NA,Birdman or  The Unexpected Virtue of Ignorance
Cyprus,NA,Birdman or  The Unexpected Virtue of Ignorance
Germany,NA,Birdman or  The Unexpected Virtue of Ignorance
Denmark,NA,Birdman or  The Unexpected Virtue of Ignorance
Spain,NA,Birdman or  The Unexpected Virtue of Ignorance
Estonia,NA,Birdman or  The Unexpected Virtue of Ignorance
Finland,NA,Birdman or  The Unexpected Virtue of Ignorance
Greece,NA,Birdman or  The Unexpected Virtue of Ignorance
Croatia,NA,Birdman or  The Unexpected Virtue of Ignorance
Hungary,NA,Birdman or  The Unexpected Virtue of Ignorance
Italy,NA,Birdman or  The Unexpected Virtue of Ignorance
Lithuania,NA,Birdman or  The Unexpected Virtue of Ignorance
Luxembourg,NA,Birdman or  The Unexpected Virtue of Ignorance
Latvia,NA,Birdman or  The Unexpected Virtue of Ignorance
Malta,NA,Birdman or  The Unexpected Virtue of Ignorance
Netherlands,NA,Birdman or  The Unexpected Virtue of Ignorance
Portugal,NA,Birdman or  The Unexpected Virtue of Ignorance
Romania,NA,Birdman or  The Unexpected Virtue of Ignorance
Slovakia,NA,Birdman or  The Unexpected Virtue of Ignorance
Slovenia,NA,Birdman or  The Unexpected Virtue of Ignorance
Sweden,NA,Birdman or  The Unexpected Virtue of Ignorance
United Kingdom,82,Black Swan
Ireland,47,Black Swan
Sweden,47,Black Swan
Latvia,NA,Black Swan
Greece,39,Black Swan
Denmark,39,Black Swan
Cyprus,NA,Black Swan
Belgium,34,Black Swan
Estonia,NA,Black Swan
France,30,Black Swan
Malta,NA,Black Swan
Germany,26,Black Swan
Austria,26,Black Swan
Croatia,26,Black Swan
Luxembourg,NA,Black Swan
Lithuania,NA,Black Swan
Slovenia,NA,Black Swan
Netherlands,26,Black Swan
Portugal,26,Black Swan
Finland,26,Black Swan
Hungary,21,Black Swan
Romania,21,Black Swan
Slovakia,NA,Black Swan
Bulgaria,NA,Black Swan
Poland,13,Black Swan
Spain,13,Black Swan
Italy,13,Black Swan
Ireland,34,Dear White People
Malta,NA,Dear White People
United Kingdom,20,Dear White People
Cyprus,NA,Dear White People
Luxembourg,NA,Dear White People
Belgium,16,Dear White People
France,14,Dear White People
Denmark,14,Dear White People
Austria,14,Dear White People
Greece,12,Dear White People
Portugal,10,Dear White People
Netherlands,10,Dear White People
Germany,10,Dear White People
Sweden,10,Dear White People
Italy,8,Dear White People
Estonia,NA,Dear White People
Finland,6,Dear White People
Croatia,NA,Dear White People
Spain,4,Dear White People
Romania,4,Dear White People
Hungary,4,Dear White People
Poland,2,Dear White People
Slovakia,NA,Dear White People
Bulgaria,NA,Dear White People
Lithuania,NA,Dear White People
Latvia,NA,Dear White People
Slovenia,NA,Dear White People
Romania,80,Nymphomaniac  Vol. I
United Kingdom,11,Nymphomaniac  Vol. I
France,NA,Nymphomaniac  Vol. I
Austria,NA,Nymphomaniac  Vol. I
Belgium,NA,Nymphomaniac  Vol. I
Bulgaria,NA,Nymphomaniac  Vol. I
Cyprus,NA,Nymphomaniac  Vol. I
Germany,NA,Nymphomaniac  Vol. I
Denmark,NA,Nymphomaniac  Vol. I
Spain,NA,Nymphomaniac  Vol. I
Estonia,NA,Nymphomaniac  Vol. I
Finland,NA,Nymphomaniac  Vol. I
Greece,NA,Nymphomaniac  Vol. I
Croatia,NA,Nymphomaniac  Vol. I
Hungary,NA,Nymphomaniac  Vol. I
Ireland,NA,Nymphomaniac  Vol. I
Italy,NA,Nymphomaniac  Vol. I
Lithuania,NA,Nymphomaniac  Vol. I
Luxembourg,NA,Nymphomaniac  Vol. I
Latvia,NA,Nymphomaniac  Vol. I
Malta,NA,Nymphomaniac  Vol. I
Netherlands,NA,Nymphomaniac  Vol. I
Poland,NA,Nymphomaniac  Vol. I
Portugal,NA,Nymphomaniac  Vol. I
Slovakia,NA,Nymphomaniac  Vol. I
Slovenia,NA,Nymphomaniac  Vol. I
Sweden,NA,Nymphomaniac  Vol. I
Ireland,11,Teenage Mutant Ninja Turtles  Out of the Shadows
Croatia,7,Teenage Mutant Ninja Turtles  Out of the Shadows
United Kingdom,7,Teenage Mutant Ninja Turtles  Out of the Shadows
Sweden,6,Teenage Mutant Ninja Turtles  Out of the Shadows
Finland,4,Teenage Mutant Ninja Turtles  Out of the Shadows
Denmark,4,Teenage Mutant Ninja Turtles  Out of the Shadows
Latvia,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Greece,3,Teenage Mutant Ninja Turtles  Out of the Shadows
Netherlands,3,Teenage Mutant Ninja Turtles  Out of the Shadows
Slovenia,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Slovakia,2,Teenage Mutant Ninja Turtles  Out of the Shadows
Bulgaria,2,Teenage Mutant Ninja Turtles  Out of the Shadows
Germany,2,Teenage Mutant Ninja Turtles  Out of the Shadows
Lithuania,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Romania,1,Teenage Mutant Ninja Turtles  Out of the Shadows
Austria,1,Teenage Mutant Ninja Turtles  Out of the Shadows
Hungary,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Portugal,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
France,1,Teenage Mutant Ninja Turtles  Out of the Shadows
Belgium,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Poland,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Spain,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Italy,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Malta,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Cyprus,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Estonia,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Luxembourg,NA,Teenage Mutant Ninja Turtles  Out of the Shadows
Ireland,100,Knock Knock
United Kingdom,27,Knock Knock
Malta,NA,Knock Knock
Cyprus,NA,Knock Knock
Estonia,NA,Knock Knock
Luxembourg,NA,Knock Knock
Belgium,8,Knock Knock
Germany,8,Knock Knock
Croatia,8,Knock Knock
Portugal,7,Knock Knock
Sweden,7,Knock Knock
France,7,Knock Knock
Denmark,7,Knock Knock
Lithuania,NA,Knock Knock
Austria,7,Knock Knock
Latvia,NA,Knock Knock
Netherlands,7,Knock Knock
Slovenia,NA,Knock Knock
Hungary,5,Knock Knock
Greece,5,Knock Knock
Romania,5,Knock Knock
Bulgaria,NA,Knock Knock
Finland,5,Knock Knock
Slovakia,NA,Knock Knock
Spain,3,Knock Knock
Italy,3,Knock Knock
Poland,3,Knock Knock
Netherlands,100,Dirty Grandpa
Slovenia,11,Dirty Grandpa
Belgium,10,Dirty Grandpa
United Kingdom,8,Dirty Grandpa
Ireland,6,Dirty Grandpa
Malta,NA,Dirty Grandpa
Romania,6,Dirty Grandpa
Austria,6,Dirty Grandpa
Bulgaria,6,Dirty Grandpa
Croatia,6,Dirty Grandpa
Cyprus,NA,Dirty Grandpa
Germany,5,Dirty Grandpa
Luxembourg,NA,Dirty Grandpa
Denmark,4,Dirty Grandpa
Greece,4,Dirty Grandpa
Lithuania,NA,Dirty Grandpa
Sweden,3,Dirty Grandpa
Hungary,3,Dirty Grandpa
Estonia,NA,Dirty Grandpa
Latvia,NA,Dirty Grandpa
Portugal,2,Dirty Grandpa
Slovakia,NA,Dirty Grandpa
Poland,1,Dirty Grandpa
Spain,1,Dirty Grandpa
Finland,NA,Dirty Grandpa
France,1,Dirty Grandpa
Italy,NA,Dirty Grandpa
Denmark,100,Cloud Atlas
Malta,NA,Cloud Atlas
Sweden,78,Cloud Atlas
Cyprus,74,Cloud Atlas
United Kingdom,74,Cloud Atlas
Italy,57,Cloud Atlas
Estonia,55,Cloud Atlas
France,55,Cloud Atlas
Romania,53,Cloud Atlas
Ireland,42,Cloud Atlas
Latvia,42,Cloud Atlas
Slovenia,36,Cloud Atlas
Croatia,36,Cloud Atlas
Germany,34,Cloud Atlas
Netherlands,31,Cloud Atlas
Luxembourg,NA,Cloud Atlas
Belgium,29,Cloud Atlas
Lithuania,27,Cloud Atlas
Austria,27,Cloud Atlas
Finland,25,Cloud Atlas
Greece,25,Cloud Atlas
Portugal,21,Cloud Atlas
Bulgaria,19,Cloud Atlas
Slovakia,17,Cloud Atlas
Hungary,17,Cloud Atlas
Spain,12,Cloud Atlas
Poland,10,Cloud Atlas
Greece,62,X-Men Origins  Wolverine
Romania,33,X-Men Origins  Wolverine
Cyprus,NA,X-Men Origins  Wolverine
Hungary,29,X-Men Origins  Wolverine
Ireland,25,X-Men Origins  Wolverine
Poland,22,X-Men Origins  Wolverine
Bulgaria,21,X-Men Origins  Wolverine
Denmark,20,X-Men Origins  Wolverine
Sweden,20,X-Men Origins  Wolverine
France,19,X-Men Origins  Wolverine
Finland,19,X-Men Origins  Wolverine
Belgium,18,X-Men Origins  Wolverine
United Kingdom,18,X-Men Origins  Wolverine
Germany,16,X-Men Origins  Wolverine
Austria,12,X-Men Origins  Wolverine
Spain,12,X-Men Origins  Wolverine
Croatia,NA,X-Men Origins  Wolverine
Netherlands,9,X-Men Origins  Wolverine
Portugal,9,X-Men Origins  Wolverine
Italy,6,X-Men Origins  Wolverine
Slovenia,NA,X-Men Origins  Wolverine
Slovakia,NA,X-Men Origins  Wolverine
Estonia,NA,X-Men Origins  Wolverine
Lithuania,NA,X-Men Origins  Wolverine
Luxembourg,NA,X-Men Origins  Wolverine
Latvia,NA,X-Men Origins  Wolverine
Malta,NA,X-Men Origins  Wolverine
United Kingdom,3,Satanic
Ireland,3,Satanic
Malta,NA,Satanic
Finland,3,Satanic
Sweden,2,Satanic
Romania,2,Satanic
Estonia,NA,Satanic
Croatia,2,Satanic
Cyprus,NA,Satanic
Slovenia,NA,Satanic
Netherlands,2,Satanic
Denmark,1,Satanic
Greece,1,Satanic
Belgium,1,Satanic
Austria,1,Satanic
Latvia,NA,Satanic
Lithuania,NA,Satanic
Slovakia,1,Satanic
Bulgaria,1,Satanic
Portugal,1,Satanic
Hungary,1,Satanic
Germany,1,Satanic
Luxembourg,NA,Satanic
Italy,1,Satanic
Poland,1,Satanic
France,1,Satanic
Spain,1,Satanic
Croatia,100,Skyfall
Sweden,9,Skyfall
United Kingdom,7,Skyfall
Hungary,6,Skyfall
Poland,5,Skyfall
Ireland,5,Skyfall
Luxembourg,NA,Skyfall
Slovenia,5,Skyfall
Finland,5,Skyfall
Cyprus,NA,Skyfall
Denmark,4,Skyfall
France,4,Skyfall
Greece,4,Skyfall
Malta,NA,Skyfall
Germany,4,Skyfall
Belgium,3,Skyfall
Austria,3,Skyfall
Italy,3,Skyfall
Netherlands,3,Skyfall
Latvia,NA,Skyfall
Slovakia,3,Skyfall
Romania,3,Skyfall
Bulgaria,3,Skyfall
Portugal,2,Skyfall
Spain,2,Skyfall
Estonia,NA,Skyfall
Lithuania,NA,Skyfall
Ireland,84,The Hobbit  An Unexpected Journey
United Kingdom,57,The Hobbit  An Unexpected Journey
Estonia,47,The Hobbit  An Unexpected Journey
Netherlands,32,The Hobbit  An Unexpected Journey
Cyprus,NA,The Hobbit  An Unexpected Journey
Greece,28,The Hobbit  An Unexpected Journey
Belgium,27,The Hobbit  An Unexpected Journey
Bulgaria,23,The Hobbit  An Unexpected Journey
Denmark,23,The Hobbit  An Unexpected Journey
Hungary,21,The Hobbit  An Unexpected Journey
Romania,20,The Hobbit  An Unexpected Journey
Sweden,16,The Hobbit  An Unexpected Journey
Finland,16,The Hobbit  An Unexpected Journey
Slovenia,NA,The Hobbit  An Unexpected Journey
Lithuania,NA,The Hobbit  An Unexpected Journey
Slovakia,NA,The Hobbit  An Unexpected Journey
Austria,9,The Hobbit  An Unexpected Journey
Spain,7,The Hobbit  An Unexpected Journey
Germany,6,The Hobbit  An Unexpected Journey
Croatia,NA,The Hobbit  An Unexpected Journey
Portugal,NA,The Hobbit  An Unexpected Journey
France,5,The Hobbit  An Unexpected Journey
Poland,3,The Hobbit  An Unexpected Journey
Italy,3,The Hobbit  An Unexpected Journey
Luxembourg,NA,The Hobbit  An Unexpected Journey
Latvia,NA,The Hobbit  An Unexpected Journey
Malta,NA,The Hobbit  An Unexpected Journey
Netherlands,100,21 Jump Street
Denmark,62,21 Jump Street
Sweden,36,21 Jump Street
Malta,NA,21 Jump Street
Luxembourg,NA,21 Jump Street
France,23,21 Jump Street
Hungary,22,21 Jump Street
United Kingdom,22,21 Jump Street
Ireland,21,21 Jump Street
Cyprus,NA,21 Jump Street
Slovakia,18,21 Jump Street
Belgium,18,21 Jump Street
Germany,16,21 Jump Street
Estonia,NA,21 Jump Street
Croatia,15,21 Jump Street
Finland,15,21 Jump Street
Slovenia,NA,21 Jump Street
Austria,13,21 Jump Street
Latvia,NA,21 Jump Street
Poland,11,21 Jump Street
Bulgaria,10,21 Jump Street
Greece,9,21 Jump Street
Romania,8,21 Jump Street
Italy,8,21 Jump Street
Lithuania,NA,21 Jump Street
Portugal,5,21 Jump Street
Spain,3,21 Jump Street
Ireland,100,Sing Street
United Kingdom,13,Sing Street
Spain,5,Sing Street
Hungary,3,Sing Street
Croatia,2,Sing Street
Portugal,2,Sing Street
Italy,2,Sing Street
Cyprus,NA,Sing Street
Slovenia,NA,Sing Street
France,1,Sing Street
Sweden,1,Sing Street
Denmark,1,Sing Street
Slovakia,NA,Sing Street
Greece,1,Sing Street
Belgium,1,Sing Street
Luxembourg,NA,Sing Street
Netherlands,1,Sing Street
Bulgaria,NA,Sing Street
Germany,1,Sing Street
Lithuania,NA,Sing Street
Poland,1,Sing Street
Estonia,NA,Sing Street
Austria,NA,Sing Street
Romania,NA,Sing Street
Finland,NA,Sing Street
Latvia,NA,Sing Street
Malta,NA,Sing Street
Italy,100,Ballerina
Malta,NA,Ballerina
Germany,40,Ballerina
Sweden,37,Ballerina
Denmark,33,Ballerina
United Kingdom,32,Ballerina
Netherlands,29,Ballerina
Austria,27,Ballerina
Luxembourg,NA,Ballerina
Ireland,25,Ballerina
Belgium,22,Ballerina
Finland,20,Ballerina
Cyprus,NA,Ballerina
Estonia,NA,Ballerina
Latvia,NA,Ballerina
Lithuania,13,Ballerina
Croatia,11,Ballerina
Slovakia,11,Ballerina
Slovenia,NA,Ballerina
Hungary,10,Ballerina
Poland,10,Ballerina
Bulgaria,9,Ballerina
Romania,8,Ballerina
Greece,8,Ballerina
France,7,Ballerina
Spain,7,Ballerina
Portugal,6,Ballerina
United Kingdom,73,Oblivion
Estonia,NA,Oblivion
Ireland,53,Oblivion
Finland,43,Oblivion
Sweden,40,Oblivion
Denmark,36,Oblivion
Latvia,NA,Oblivion
Hungary,34,Oblivion
Germany,31,Oblivion
Croatia,30,Oblivion
Malta,NA,Oblivion
Austria,28,Oblivion
Lithuania,28,Oblivion
Netherlands,28,Oblivion
Slovenia,NA,Oblivion
Poland,27,Oblivion
Greece,27,Oblivion
Romania,26,Oblivion
Portugal,24,Oblivion
Belgium,24,Oblivion
Italy,24,Oblivion
Slovakia,23,Oblivion
Cyprus,NA,Oblivion
France,21,Oblivion
Bulgaria,20,Oblivion
Luxembourg,NA,Oblivion
Spain,18,Oblivion
Netherlands,100,22 Jump Street
Denmark,81,22 Jump Street
Sweden,53,22 Jump Street
Ireland,45,22 Jump Street
Malta,NA,22 Jump Street
United Kingdom,34,22 Jump Street
Slovenia,33,22 Jump Street
Croatia,31,22 Jump Street
Hungary,30,22 Jump Street
Latvia,30,22 Jump Street
Slovakia,29,22 Jump Street
Cyprus,NA,22 Jump Street
Estonia,NA,22 Jump Street
Finland,23,22 Jump Street
Luxembourg,NA,22 Jump Street
Poland,18,22 Jump Street
France,15,22 Jump Street
Belgium,15,22 Jump Street
Germany,13,22 Jump Street
Romania,13,22 Jump Street
Bulgaria,12,22 Jump Street
Austria,12,22 Jump Street
Italy,11,22 Jump Street
Greece,10,22 Jump Street
Portugal,7,22 Jump Street
Lithuania,NA,22 Jump Street
Spain,5,22 Jump Street
Malta,NA,Zodiac
Romania,26,Zodiac
Ireland,25,Zodiac
Cyprus,NA,Zodiac
United Kingdom,22,Zodiac
Sweden,15,Zodiac
Denmark,14,Zodiac
Estonia,NA,Zodiac
Netherlands,14,Zodiac
Luxembourg,NA,Zodiac
Lithuania,14,Zodiac
Slovenia,NA,Zodiac
Croatia,13,Zodiac
Latvia,NA,Zodiac
Belgium,11,Zodiac
Bulgaria,9,Zodiac
Finland,8,Zodiac
Slovakia,8,Zodiac
Greece,8,Zodiac
Austria,5,Zodiac
Hungary,5,Zodiac
Portugal,NA,Zodiac
Poland,4,Zodiac
Germany,4,Zodiac
France,3,Zodiac
Spain,3,Zodiac
Italy,3,Zodiac
Austria,NA,Everybody Wants Some!!
Belgium,NA,Everybody Wants Some!!
Bulgaria,NA,Everybody Wants Some!!
Cyprus,NA,Everybody Wants Some!!
Germany,NA,Everybody Wants Some!!
Denmark,NA,Everybody Wants Some!!
Spain,NA,Everybody Wants Some!!
Estonia,NA,Everybody Wants Some!!
Finland,NA,Everybody Wants Some!!
France,NA,Everybody Wants Some!!
United Kingdom,NA,Everybody Wants Some!!
Greece,NA,Everybody Wants Some!!
Croatia,NA,Everybody Wants Some!!
Hungary,NA,Everybody Wants Some!!
Ireland,NA,Everybody Wants Some!!
Italy,NA,Everybody Wants Some!!
Lithuania,NA,Everybody Wants Some!!
Luxembourg,NA,Everybody Wants Some!!
Latvia,NA,Everybody Wants Some!!
Malta,NA,Everybody Wants Some!!
Netherlands,NA,Everybody Wants Some!!
Poland,NA,Everybody Wants Some!!
Portugal,NA,Everybody Wants Some!!
Romania,NA,Everybody Wants Some!!
Slovakia,NA,Everybody Wants Some!!
Slovenia,NA,Everybody Wants Some!!
Sweden,NA,Everybody Wants Some!!
United Kingdom,70,Iron Man Three
Cyprus,NA,Iron Man Three
Greece,NA,Iron Man Three
Slovenia,NA,Iron Man Three
Ireland,NA,Iron Man Three
Croatia,NA,Iron Man Three
Portugal,NA,Iron Man Three
Hungary,NA,Iron Man Three
Sweden,NA,Iron Man Three
Netherlands,NA,Iron Man Three
Germany,NA,Iron Man Three
Austria,NA,Iron Man Three
Spain,NA,Iron Man Three
Poland,NA,Iron Man Three
France,NA,Iron Man Three
Italy,NA,Iron Man Three
Belgium,NA,Iron Man Three
Bulgaria,NA,Iron Man Three
Denmark,NA,Iron Man Three
Estonia,NA,Iron Man Three
Finland,NA,Iron Man Three
Lithuania,NA,Iron Man Three
Luxembourg,NA,Iron Man Three
Latvia,NA,Iron Man Three
Malta,NA,Iron Man Three
Romania,NA,Iron Man Three
Slovakia,NA,Iron Man Three
Cyprus,100,Now You See Me
Malta,NA,Now You See Me
United Kingdom,40,Now You See Me
Ireland,32,Now You See Me
Denmark,31,Now You See Me
Italy,30,Now You See Me
Sweden,27,Now You See Me
Slovenia,27,Now You See Me
Netherlands,25,Now You See Me
Romania,22,Now You See Me
Greece,21,Now You See Me
Bulgaria,20,Now You See Me
Croatia,20,Now You See Me
Belgium,19,Now You See Me
Latvia,NA,Now You See Me
Estonia,NA,Now You See Me
Portugal,16,Now You See Me
Lithuania,NA,Now You See Me
Slovakia,15,Now You See Me
Luxembourg,NA,Now You See Me
Finland,15,Now You See Me
Hungary,14,Now You See Me
Austria,10,Now You See Me
Germany,10,Now You See Me
Poland,8,Now You See Me
France,7,Now You See Me
Spain,6,Now You See Me
Italy,70,Sherlock Holmes
Belgium,68,Sherlock Holmes
United Kingdom,60,Sherlock Holmes
Hungary,46,Sherlock Holmes
Germany,43,Sherlock Holmes
Poland,43,Sherlock Holmes
France,43,Sherlock Holmes
Spain,40,Sherlock Holmes
Ireland,40,Sherlock Holmes
Luxembourg,NA,Sherlock Holmes
Cyprus,NA,Sherlock Holmes
Austria,34,Sherlock Holmes
Denmark,31,Sherlock Holmes
Slovenia,30,Sherlock Holmes
Croatia,30,Sherlock Holmes
Slovakia,30,Sherlock Holmes
Estonia,NA,Sherlock Holmes
Portugal,27,Sherlock Holmes
Romania,27,Sherlock Holmes
Netherlands,26,Sherlock Holmes
Sweden,24,Sherlock Holmes
Malta,NA,Sherlock Holmes
Finland,22,Sherlock Holmes
Latvia,NA,Sherlock Holmes
Greece,20,Sherlock Holmes
Lithuania,NA,Sherlock Holmes
Bulgaria,14,Sherlock Holmes
Ireland,92,Death Proof
United Kingdom,70,Death Proof
Netherlands,67,Death Proof
Croatia,54,Death Proof
Denmark,51,Death Proof
Sweden,42,Death Proof
Spain,42,Death Proof
Finland,38,Death Proof
Austria,35,Death Proof
Lithuania,33,Death Proof
Portugal,33,Death Proof
Greece,30,Death Proof
Belgium,29,Death Proof
Poland,28,Death Proof
Germany,28,Death Proof
Cyprus,NA,Death Proof
Slovenia,NA,Death Proof
Estonia,NA,Death Proof
Hungary,24,Death Proof
Luxembourg,NA,Death Proof
Romania,14,Death Proof
Bulgaria,NA,Death Proof
Italy,11,Death Proof
Slovakia,NA,Death Proof
France,9,Death Proof
Latvia,NA,Death Proof
Malta,NA,Death Proof
Malta,NA,The Danish Girl
Denmark,63,The Danish Girl
Sweden,38,The Danish Girl
Italy,33,The Danish Girl
Estonia,26,The Danish Girl
Netherlands,23,The Danish Girl
Cyprus,21,The Danish Girl
Lithuania,20,The Danish Girl
Romania,17,The Danish Girl
Greece,17,The Danish Girl
Ireland,16,The Danish Girl
United Kingdom,15,The Danish Girl
Belgium,14,The Danish Girl
Austria,14,The Danish Girl
Germany,14,The Danish Girl
Finland,13,The Danish Girl
Slovenia,13,The Danish Girl
Portugal,12,The Danish Girl
Luxembourg,NA,The Danish Girl
Latvia,NA,The Danish Girl
France,11,The Danish Girl
Croatia,11,The Danish Girl
Hungary,10,The Danish Girl
Bulgaria,8,The Danish Girl
Slovakia,6,The Danish Girl
Poland,5,The Danish Girl
Spain,2,The Danish Girl
Spain,100,Hercules
Netherlands,75,Hercules
Germany,49,Hercules
United Kingdom,49,Hercules
Hungary,43,Hercules
Denmark,36,Hercules
Cyprus,NA,Hercules
Italy,32,Hercules
Greece,32,Hercules
Portugal,31,Hercules
Ireland,29,Hercules
Luxembourg,NA,Hercules
Belgium,28,Hercules
Sweden,27,Hercules
Malta,NA,Hercules
Finland,26,Hercules
Austria,25,Hercules
Romania,23,Hercules
Slovakia,21,Hercules
Lithuania,NA,Hercules
Croatia,NA,Hercules
Slovenia,NA,Hercules
Bulgaria,15,Hercules
Latvia,NA,Hercules
Poland,13,Hercules
Estonia,NA,Hercules
France,11,Hercules
Italy,44,Sucker Punch
United Kingdom,40,Sucker Punch
Malta,NA,Sucker Punch
Ireland,33,Sucker Punch
Cyprus,NA,Sucker Punch
France,21,Sucker Punch
Hungary,18,Sucker Punch
Finland,18,Sucker Punch
Lithuania,17,Sucker Punch
Belgium,17,Sucker Punch
Estonia,NA,Sucker Punch
Germany,15,Sucker Punch
Spain,15,Sucker Punch
Bulgaria,14,Sucker Punch
Austria,14,Sucker Punch
Sweden,14,Sucker Punch
Portugal,12,Sucker Punch
Romania,11,Sucker Punch
Denmark,10,Sucker Punch
Slovakia,10,Sucker Punch
