Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2020-12-25T10:00Z,173,170,moderate
2020-12-25T10:30Z,172,164,moderate
2020-12-25T11:00Z,165,167,moderate
2020-12-25T11:30Z,168,173,moderate
2020-12-25T12:00Z,166,175,moderate
2020-12-25T12:30Z,166,172,moderate
2020-12-25T13:00Z,167,167,moderate
2020-12-25T13:30Z,171,158,moderate
2020-12-25T14:00Z,170,157,moderate
2020-12-25T14:30Z,168,159,moderate
2020-12-25T15:00Z,165,163,moderate
2020-12-25T15:30Z,163,163,moderate
2020-12-25T16:00Z,160,158,moderate
2020-12-25T16:30Z,163,158,moderate
2020-12-25T17:00Z,159,152,low
2020-12-25T17:30Z,152,143,low
2020-12-25T18:00Z,147,140,low
2020-12-25T18:30Z,146,138,low
2020-12-25T19:00Z,142,134,low
2020-12-25T19:30Z,144,132,low
2020-12-25T20:00Z,145,125,low
2020-12-25T20:30Z,133,120,low
2020-12-25T21:00Z,124,119,low
2020-12-25T21:30Z,119,121,low
2020-12-25T22:00Z,99,123,low
2020-12-25T22:30Z,94,126,low
2020-12-25T23:00Z,83,125,low
2020-12-25T23:30Z,76,123,low
2020-12-26T00:00Z,68,121,low
2020-12-26T00:30Z,67,79,low
2020-12-26T01:00Z,67,75,low
2020-12-26T01:30Z,66,69,low
2020-12-26T02:00Z,68,67,low
2020-12-26T02:30Z,65,71,low
2020-12-26T03:00Z,66,74,low
2020-12-26T03:30Z,65,75,low
2020-12-26T04:00Z,64,70,low
2020-12-26T04:30Z,64,70,low
2020-12-26T05:00Z,64,71,low
2020-12-26T05:30Z,66,70,low
2020-12-26T06:00Z,67,73,low
2020-12-26T06:30Z,74,72,low
2020-12-26T07:00Z,73,74,low
2020-12-26T07:30Z,84,76,low
2020-12-26T08:00Z,91,79,low
2020-12-26T08:30Z,96,78,low
2020-12-26T09:00Z,86,88,low
2020-12-26T09:30Z,86,93,low
2020-12-26T10:00Z,96,99,low
2020-12-26T10:30Z,100,89,low
2020-12-26T11:00Z,96,91,low
2020-12-26T11:30Z,100,94,low
2020-12-26T12:00Z,102,97,low
2020-12-26T12:30Z,103,94,low
2020-12-26T13:00Z,103,97,low
2020-12-26T13:30Z,104,98,low
2020-12-26T14:00Z,105,99,low
2020-12-26T14:30Z,106,100,low
2020-12-26T15:00Z,104,102,low
2020-12-26T15:30Z,109,102,low
2020-12-26T16:00Z,104,103,low
2020-12-26T16:30Z,104,102,low
2020-12-26T17:00Z,105,105,low
2020-12-26T17:30Z,103,101,low
2020-12-26T18:00Z,105,99,low
2020-12-26T18:30Z,102,102,low
2020-12-26T19:00Z,97,101,low
2020-12-26T19:30Z,96,100,low
2020-12-26T20:00Z,96,102,low
2020-12-26T20:30Z,93,100,low
2020-12-26T21:00Z,96,96,low
2020-12-26T21:30Z,86,91,low
2020-12-26T22:00Z,79,90,low
2020-12-26T22:30Z,67,88,low
2020-12-26T23:00Z,66,87,low
2020-12-26T23:30Z,64,70,low
2020-12-27T00:00Z,76,62,low
